cohort,strain,treatment,position,sex,kd_time,kd_temp,surv_days,date,death_date
2,A1,FR,1,M,,41.6,9,2018-07-03,2018-07-12
2,A2,FR,3,F,,41,12,2018-07-03,2018-07-15
2,A3,FR,2,M,,41,21,2018-07-03,2018-07-24
2,A4,FR,13,M,,41.2,0,2018-07-03,2018-07-03
2,A5,FR,6,F,,39.8,12,2018-07-03,2018-07-15
2,A6,FR,10,F,,41.6,17,2018-07-03,2018-07-20
2,A7,FR,7,F,,41,13,2018-07-03,2018-07-16
2,AB8,FR,11,F,,39,11,2018-07-03,2018-07-14
2,B2,FR,4,M,,41,13,2018-07-03,2018-07-16
2,B3,FR,12,F,,41.6,11,2018-07-03,2018-07-14
2,B4,FR,5,F,,41,4,2018-07-03,2018-07-07
2,B6,FR,9,F,,40.4,12,2018-07-03,2018-07-15
2,B7,FR,8,M,,37.1,13,2018-07-03,2018-07-16
2,A1,HH,1,M,13:25,,16,2018-07-03,2018-07-19
2,A2,HH,7,M,5:20,,12,2018-07-03,2018-07-15
2,A3,HH,11,F,26:10,,13,2018-07-03,2018-07-16
2,A4,HH,6,F,14:12,,9,2018-07-03,2018-07-12
2,A5,HH,2,M,6:44,,16,2018-07-03,2018-07-19
2,A6,HH,3,M,13:34,,21,2018-07-03,2018-07-24
2,A7,HH,4,M,27:02,,19,2018-07-03,2018-07-22
2,AB8,HH,9,M,1:37,,9,2018-07-03,2018-07-12
2,B2,HH,8,F,4:45,,11,2018-07-03,2018-07-14
2,B3,HH,12,M,23:14,,17,2018-07-03,2018-07-20
2,B4,HH,5,M,3:06,,0,2018-07-03,2018-07-03
2,B6,HH,13,M,7:46,,,2018-07-03,
2,B7,HH,10,F,1:02,,11,2018-07-03,2018-07-14
2,A1,SHS,1,M,18:04,,19,2018-07-03,2018-07-22
2,A2,SHS,4,M,23:22,,0,2018-07-03,2018-07-03
2,A3,SHS,8,M,22:15,,0,2018-07-03,2018-07-03
2,A4,SHS,3,F,14:34,,0,2018-07-03,2018-07-03
2,A5,SHS,10,M,4:30,,3,2018-07-03,2018-07-16
2,A6,SHS,9,M,6:51,,8,2018-07-03,2018-07-11
2,A7,SHS,5,M,20:45,,12,2018-07-03,2018-07-15
2,AB8,SHS,6,F,15:18,,8,2018-07-03,2018-07-11
2,B2,SHS,12,F,24:00,,15,2018-07-03,2018-07-18
2,B3,SHS,2,M,10:19,,13,2018-07-03,2018-07-16
2,B4,SHS,13,F,24:46,,0,2018-07-03,2018-07-03
2,B6,SHS,7,M,3:45,,17,2018-07-03,2018-07-20
2,B7,SHS,11,M,0:00,,17,2018-07-03,2018-07-20
2,A1,SR,6,M,,39.3,0,2018-07-03,2018-07-03
2,A2,SR,9,F,,38.1,12,2018-07-03,2018-07-15
2,A3,SR,8,M,,38.9,0,2018-07-03,2018-07-03
2,A4,SR,10,F,,39,11,2018-07-03,2018-07-14
2,A5,SR,12,F,,37.6,10,2018-07-03,2018-07-13
2,A6,SR,1,M,,38.2,,2018-07-03,
2,A7,SR,7,M,,39.5,12,2018-07-03,2018-07-15
2,AB8,SR,13,F,,37.2,8,2018-07-03,2018-07-11
2,B2,SR,5,M,,38.7,,2018-07-03,
2,B3,SR,2,F,,39.4,,2018-07-03,
2,B4,SR,4,F,,37.1,,2018-07-03,
2,B6,SR,3,F,,39.1,11,2018-07-03,2018-07-14
2,B7,SR,11,F,,37,11,2018-07-03,2018-07-14
2,A1,CC,,M,,,11,2018-07-03,2018-07-14
2,A2,CC,,M,,,,2018-07-03,
2,A3,CC,,M,,,12,2018-07-03,2018-07-15
2,A4,CC,,M,,,,2018-07-03,
2,A5,CC,,M,,,12,2018-07-03,2018-07-15
2,A6,CC,,M,,,13,2018-07-03,2018-07-16
2,A7,CC,,M,,,,2018-07-03,
2,AB8,CC,,M,,,8,2018-07-03,2018-07-11
2,B2,CC,,M,,,13,2018-07-03,2018-07-16
2,B3,CC,,M,,,11,2018-07-03,2018-07-14
2,B4,CC,,M,,,12,2018-07-03,2018-07-15
2,B6,CC,,M,,,6,2018-07-03,2018-07-09
2,B7,CC,,M,,,19,2018-07-03,2018-07-22
2,A1,CC,,F,,,11,2018-07-03,2018-07-14
2,A2,CC,,F,,,,2018-07-03,
2,A3,CC,,F,,,12,2018-07-03,2018-07-15
2,A4,CC,,F,,,,2018-07-03,
2,A5,CC,,F,,,12,2018-07-03,2018-07-15
2,A6,CC,,F,,,13,2018-07-03,2018-07-16
2,A7,CC,,F,,,12,2018-07-03,2018-07-15
2,AB8,CC,,F,,,8,2018-07-03,2018-07-11
2,B2,CC,,F,,,,2018-07-03,
2,B3,CC,,F,,,11,2018-07-03,2018-07-14
2,B4,CC,,F,,,,2018-07-03,
2,B6,CC,,F,,,19,2018-07-03,2018-07-22
2,B7,CC,,F,,,,2018-07-03,
3,A1,FR,2,M,,41.3,14,2018-07-05,2018-07-19
3,A2,FR,12,F,,40.8,,2018-07-05,
3,A3,FR,13,M,,40.8,,2018-07-05,
3,A4,FR,3,F,,41.3,3,2018-07-05,2018-07-08
3,A5,FR,7,M,,41.3,11,2018-07-05,2018-07-16
3,A6,FR,5,F,,41.3,13,2018-07-05,2018-07-18
3,A7,FR,11,F,,40.7,3,2018-07-05,2018-07-08
3,AB8,FR,1,M,,41.3,7,2018-07-05,2018-07-12
3,B2,FR,4,M,,41.3,,2018-07-05,
3,B3,FR,9,M,,41.4,,2018-07-05,
3,B4,FR,8,F,,39.9,17,2018-07-05,2018-07-22
3,B6,FR,10,F,,41.3,0,2018-07-05,2018-07-05
3,B7,FR,6,F,,38.1,15,2018-07-05,2018-07-20
3,A1,HH,13,F,13:38,,15,2018-07-05,2018-07-20
3,A2,HH,1,F,10:24,,,2018-07-05,
3,A3,HH,7,F,12:43,,19,2018-07-05,2018-07-24
3,A4,HH,2,F,14:53,,17,2018-07-05,2018-07-22
3,A5,HH,9,F,0:20,,0,2018-07-05,2018-07-05
3,A6,HH,6,F,0:49,,13,2018-07-05,2018-07-18
3,A7,HH,12,F,18:58,,7,2018-07-05,2018-07-12
3,AB8,HH,3,F,0:00,,0,2018-07-05,2018-07-05
3,B2,HH,8,F,2:01,,,2018-07-05,
3,B3,HH,10,F,21:03,,15,2018-07-05,2018-07-20
3,B4,HH,5,M,0:00,,0,2018-07-05,2018-07-05
3,B6,HH,11,F,19:16,,9,2018-07-05,2018-07-14
3,B7,HH,4,F,0:00,,,2018-07-05,
3,A1,SHS,5,F,20:03,,13,2018-07-05,2018-07-18
3,A2,SHS,8,M,9:05,,,2018-07-05,
3,A3,SHS,7,M,21:28,,,2018-07-05,
3,A4,SHS,11,M,18:12,,0,2018-07-05,2018-07-05
3,A5,SHS,13,F,3:08,,,2018-07-05,
3,A6,SHS,2,M,4:40,,,2018-07-05,
3,A7,SHS,9,F,12:50,,,2018-07-05,
3,AB8,SHS,1,F,0:29,,9,2018-07-05,2018-07-14
3,B2,SHS,12,M,14:40,,,2018-07-05,
3,B3,SHS,3,M,6:30,,,2018-07-05,
3,B4,SHS,6,M,2:51,,13,2018-07-05,2018-07-18
3,B6,SHS,4,F,11:10,,15,2018-07-05,2018-07-20
3,B7,SHS,10,M,0:10,,13,2018-07-05,2018-07-18
3,A1,SR,6,M,,38.6,0,2018-07-05,2018-07-05
3,A2,SR,2,M,,38.3,11,2018-07-05,2018-07-16
3,A3,SR,9,F,,39.5,0,2018-07-05,2018-07-05
3,A4,SR,13,F,,38.6,13,2018-07-05,2018-07-18
3,A5,SR,8,F,,38.4,,2018-07-05,
3,A6,SR,3,M,,38.4,0,2018-07-05,2018-07-05
3,A7,SR,12,F,,38.9,,2018-07-05,
3,AB8,SR,7,M,,36.5,0,2018-07-05,2018-07-05
3,B2,SR,11,M,,38.5,,2018-07-05,
3,B3,SR,4,F,,38.7,,2018-07-05,
3,B4,SR,1,F,,37.8,,2018-07-05,
3,B6,SR,5,F,,39.1,15,2018-07-05,2018-07-20
3,B7,SR,10,F,,38,11,2018-07-05,2018-07-16
3,A1,CC,,M,,,,2018-07-05,
3,A2,CC,,M,,,,2018-07-05,
3,A3,CC,,M,,,,2018-07-05,
3,A4,CC,,M,,,,2018-07-05,
3,A5,CC,,M,,,15,2018-07-05,2018-07-20
3,A6,CC,,M,,,,2018-07-05,
3,A7,CC,,M,,,17,2018-07-05,2018-07-22
3,AB8,CC,,M,,,,2018-07-05,
3,B2,CC,,M,,,,2018-07-05,
3,B3,CC,,M,,,9,2018-07-05,2018-07-14
3,B4,CC,,M,,,,2018-07-05,
3,B6,CC,,M,,,,2018-07-05,
3,B7,CC,,M,,,,2018-07-05,
3,A1,CC,,F,,,11,2018-07-05,2018-07-16
3,A2,CC,,F,,,19,2018-07-05,2018-07-24
3,A3,CC,,F,,,9,2018-07-05,2018-07-14
3,A4,CC,,F,,,9,2018-07-05,2018-07-14
3,A5,CC,,F,,,13,2018-07-05,2018-07-18
3,A6,CC,,F,,,9,2018-07-05,2018-07-14
3,A7,CC,,F,,,,2018-07-05,
3,AB8,CC,,F,,,4,2018-07-05,2018-07-09
3,B2,CC,,F,,,15,2018-07-05,2018-07-20
3,B3,CC,,F,,,,2018-07-05,
3,B4,CC,,F,,,8,2018-07-05,2018-07-13
3,B6,CC,,F,,,,2018-07-05,
3,B7,CC,,F,,,13,2018-07-05,2018-07-18
4,A1,FR,12,M,,41.7,13,2018-07-09,2018-07-22
4,A2,FR,13,F,,41.8,,2018-07-09,
4,A3,FR,9,M,,41.7,,2018-07-09,
4,A4,FR,2,M,,40.4,13,2018-07-09,2018-07-22
4,A5,FR,4,F,,40.2,11,2018-07-09,2018-07-20
4,A6,FR,1,M,,41.7,15,2018-07-09,2018-07-24
4,A7,FR,7,F,,41.7,13,2018-07-09,2018-07-22
4,AB8,FR,5,F,,40.4,10,2018-07-09,2018-07-19
4,B2,FR,11,F,,41.7,13,2018-07-09,2018-07-22
4,B3,FR,10,M,,41.7,,2018-07-09,
4,B4,FR,3,F,,40.4,5,2018-07-09,2018-07-14
4,B6,FR,8,F,,39.8,15,2018-07-09,2018-07-24
4,B7,FR,6,M,,36.7,,2018-07-09,
4,A1,HH,9,M,13:10,,9,2018-07-09,2018-07-18
4,A2,HH,13,F,2:23,,,2018-07-09,
4,A3,HH,6,M,21:20,,,2018-07-09,
4,A4,HH,10,F,0:51,,0,2018-07-09,2018-07-09
4,A5,HH,7,M,10:55,,9,2018-07-09,2018-07-18
4,A6,HH,4,F,1:33,,0,2018-07-09,2018-07-09
4,A7,HH,8,M,20:34,,11,2018-07-09,2018-07-20
4,AB8,HH,5,M,0:00,,0,2018-07-09,2018-07-09
4,B2,HH,3,M,9:22,,0,2018-07-09,2018-07-09
4,B3,HH,12,F,10:25,,13,2018-07-09,2018-07-22
4,B4,HH,1,M,18:24,,,2018-07-09,
4,B6,HH,2,F,12:23,,13,2018-07-09,2018-07-22
4,B7,HH,11,F,0:19,,15,2018-07-09,2018-07-24
4,A1,SHS,13,M,18:34,,0,2018-07-09,2018-07-09
4,A2,SHS,1,F,2:50,,,2018-07-09,
4,A3,SHS,7,F,13:22,,10,2018-07-09,2018-07-19
4,A4,SHS,3,F,11:10,,0,2018-07-09,2018-07-09
4,A5,SHS,12,M,16:30,,,2018-07-09,
4,A6,SHS,4,F,3:23,,9,2018-07-09,2018-07-18
4,A7,SHS,11,F,12:09,,,2018-07-09,
4,AB8,SHS,8,M,4:50,,,2018-07-09,
4,B2,SHS,10,M,15:51,,,2018-07-09,
4,B3,SHS,6,F,14:20,,8,2018-07-09,2018-07-17
4,B4,SHS,5,M,17:04,,,2018-07-09,
4,B6,SHS,2,M,1:36,,,2018-07-09,
4,B7,SHS,9,F,5:45,,11,2018-07-09,2018-07-20
4,A1,SR,12,M,,36.7,0,2018-07-09,2018-07-09
4,A2,SR,2,M,,38.3,,2018-07-09,
4,A3,SR,5,F,,39.3,11,2018-07-09,2018-07-20
4,A4,SR,8,M,,38.6,2,2018-07-09,2018-07-11
4,A5,SR,3,F,,38.4,,2018-07-09,
4,A6,SR,1,F,,38.4,0,2018-07-09,2018-07-09
4,A7,SR,7,F,,38.9,,2018-07-09,
4,AB8,SR,6,F,,36.5,5,2018-07-09,2018-07-14
4,B2,SR,11,M,,38.5,8,2018-07-09,2018-07-17
4,B3,SR,13,F,,38.7,13,2018-07-09,2018-07-22
4,B4,SR,4,M,,37.8,0,2018-07-09,2018-07-09
4,B6,SR,9,M,,39.1,,2018-07-09,
4,B7,SR,10,M,,38,,2018-07-09,
